Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT4G19100	-0.681152912479428	1.82100940100817	-1.41111163520363	0.173059723621133	0.311803331105427	-5.10034388173332
AT2G03800	-0.187306021239399	4.24531714491974	-1.41094650746624	0.173107783750021	0.311863266511448	-5.62425970555943
AT3G58350	0.42452356793104	1.89043962455791	1.41078722660742	0.173154152303167	0.311920144466823	-5.17199236176308
AT1G71530	-0.624442791065424	4.03049449177108	-1.40998029344113	0.17338921330933	0.312316894519412	-5.54977839341119
AT4G18340	-0.295966935386268	6.93762232125396	-1.4094211948395	0.173552229775224	0.312553051912949	-5.85686835780201
AT2G39200	-0.591960384309532	5.21338979836095	-1.4093565769768	0.173571078338694	0.312553051912949	-5.70681523755443
AT1G12800	-0.682151518921735	5.10655740682462	-1.40931624448155	0.173582843868315	0.312553051912949	-5.73738536277042
AT3G52960	0.339566818098874	6.57886143206842	1.40930722288378	0.173585475676888	0.312553051912949	-5.85244789310202
AT2G41500	0.151740124569932	4.79078497847484	1.409276440099	0.173594455967591	0.312553051912949	-5.70271251436694
AT4G15280	-0.721438222627846	-0.626234452222863	-1.40907782778063	0.173652406284976	0.312630687888573	-4.63597393850793
AT3G62960	-1.04814794157942	-0.954328982798285	-1.40897458081633	0.17368253740539	0.312658231298515	-4.60718215802351
AT3G57080	0.178112240512595	4.06588924441552	1.40890934421393	0.173701577917933	0.312665806721033	-5.59416583574344
AT5G17420	-0.314456178060014	5.97091083664889	-1.40831217096542	0.173875951824653	0.312919990594263	-5.84241885098986
AT3G18450	-1.05068248281089	3.09871325500574	-1.40829417756664	0.173881208054395	0.312919990594263	-5.31498964486502
AT5G30490	0.133813649784424	4.2303350705178	1.4082231834693	0.173901948085793	0.312919990594263	-5.62016874406116
AT1G49170	0.274544739303684	2.62477880249303	1.40820429498688	0.173907466452142	0.312919990594263	-5.32000031327655
AT1G15040	-1.11359350619198	3.43889000747141	-1.40813906746007	0.173926524086119	0.312919990594263	-5.40064888054848
AT5G03905	-0.194244942036531	3.97877760363341	-1.40812081837206	0.173931856252039	0.312919990594263	-5.58302803000921
AT1G52420	0.171301716163158	6.74070292244915	1.40801694738033	0.173962208613832	0.312936604818118	-5.85761087091247
AT5G12970	0.236349732140916	4.96488859774351	1.40798761247448	0.1739707813977	0.312936604818118	-5.74155537379713
AT3G19510	0.224750626388229	4.73483213534053	1.40778553167796	0.17402984635712	0.31301614003482	-5.71619734866998
AT1G65230	-1.83540933957244	2.55744550718216	-1.4074866246476	0.174117241544244	0.313137262027623	-5.15235500971375
